instance,pn,pm,tw,tw_lb,minseps,pmcs,iters,time,time_sat,time_bt
pace16tw_HararyGraph_6_15,0,0,6,-1,0,0,0,0.01,0.00,0.00
pace16tw_HarborthGraph,52,104,5,5,0,1560,1566,257.78,257.69,0.03
pace16tw_HarriesGraph,70,105,-1,8,0,9170,9178,7200.00,0.00,0.00
pace16tw_HeawoodGraph,14,21,5,5,0,182,188,0.27,0.25,0.00
pace16tw_HigmanSimsGraph,100,1100,-1,27,0,100,127,7200.01,0.00,0.00
pace16tw_HoffmanGraph,16,32,6,6,0,128,135,0.35,0.34,0.00
pace16tw_HoffmanSingletonGraph,50,175,-1,19,0,3550,3569,7200.00,0.00,0.00
pace16tw_HyperStarGraph_10_2,0,0,8,-1,0,0,0,0.03,0.00,0.00
pace16tw_IcosahedralGraph,12,30,6,6,0,132,139,0.11,0.09,0.00
pace16tw_JohnsonGraph_10_4,210,2520,-1,15,0,0,15,7200.08,0.00,0.00
pace16tw_KittellGraph,23,63,7,7,0,440,448,3.68,3.66,0.01
pace16tw_KneserGraph_10_2,45,630,35,35,0,55,91,93.80,93.75,0.00
pace16tw_KneserGraph_8_3,56,280,-1,23,0,616,639,7200.01,0.00,0.00
pace16tw_LadderGraph_20,0,0,2,-1,0,0,0,0.02,0.00,0.00
pace16tw_LjubljanaGraph,112,168,-1,6,0,1456,1462,7200.01,0.00,0.00
pace16tw_MarkstroemGraph,24,36,4,4,0,1227,1232,7.79,7.76,0.02
pace16tw_McGeeGraph,24,36,7,7,0,4802,4810,44.29,44.18,0.09
pace16tw_MeredithGraph,70,140,-1,6,0,910,916,7200.00,0.00,0.00
pace16tw_NauruGraph,24,36,6,6,0,1416,1423,14.22,14.18,0.02
pace16tw_NonisotropicOrthogonalPolarGraph_3_5,15,60,10,10,0,75,86,0.18,0.17,0.00
pace16tw_NonisotropicUnitaryPolarGraph_3_3,63,1008,-1,47,0,2079,2126,7200.02,0.00,0.00
pace16tw_OddGraph_4,35,70,12,12,0,20440,20453,3111.16,3110.56,0.57
pace16tw_OrthogonalArrayBlockGraph_4_3,0,0,8,-1,0,0,0,0.02,0.00,0.00
pace16tw_PaleyGraph_17,17,68,11,11,0,221,233,0.46,0.44,0.00
pace16tw_PappusGraph,18,27,6,6,0,1404,1411,4.56,4.53,0.02
pace16tw_PoussinGraph,15,39,6,6,0,111,118,0.23,0.21,0.00
pace16tw_random4reg,48,96,-1,11,0,12746,12757,7200.01,0.00,0.00
pace16tw_RandomBarabasiAlbert_100_2,46,130,12,12,0,9899,9912,1117.70,1117.20,0.43
pace16tw_RandomBarabasiAlbert_100_5,100,475,-1,16,0,1008,1024,7200.00,0.00,0.00
pace16tw_RandomBipartite_10_50_3,35,108,9,9,0,46,56,2.99,2.96,0.00
pace16tw_RandomBipartite_25_50_1,36,81,9,9,0,2509,2519,101.46,101.36,0.07
pace16tw_RandomBipartite_25_50_3,75,368,-1,22,0,3224,3246,7200.00,0.00,0.00
pace16tw_RandomBoundedToleranceGraph_60,58,1155,30,30,0,52,83,75.03,74.95,0.00
pace16tw_RandomBoundedToleranceGraph_80,70,1527,32,32,0,61,94,646.07,645.89,0.01
